dominant_peer_ratio,seed,policy_id,total_requests,self_service_count,self_service_rate,mean_rtt_remote_ms,mean_rtt_all_ms,measured_mean_latency_ms,predicted_mean_latency_ms,abs_error_ms,rel_error
0.85,12,engagement_g05_d0.0,3026,1851,0.611699,105.852716,41.102756,43.102756,43.102756,0.000000,0.000000
0.85,12,engagement_g05_d0.25,3026,1667,0.550892,104.649860,46.999062,48.999062,48.999062,0.000000,0.000000
0.85,12,engagement_g05_d0.5,3026,1606,0.530734,105.058425,49.300384,51.300384,51.300384,0.000000,0.000000
0.85,12,engagement_g05_d1.0,3026,1479,0.488764,105.114046,53.738079,55.738079,55.738079,0.000000,0.000000
0.85,12,engagement_g05_d2.0,3026,1207,0.398876,105.401914,63.359578,65.359578,65.359578,0.000000,0.000000
0.85,12,engagement_g05_d5.0,3026,479,0.158295,105.902984,89.139095,91.139095,91.139095,0.000000,0.000000
0.85,12,engagement_g05_d10.0,3026,23,0.007601,93.104766,92.397096,94.397096,94.397096,0.000000,0.000000
0.85,12,oracle_a1,3026,2409,0.796100,36.733392,7.489922,9.489922,9.489922,0.000000,0.000000
0.85,13,static,3014,187,0.062044,99.895809,93.697893,95.697893,95.697893,0.000000,0.000000
0.85,13,nearest,3014,133,0.044127,105.652335,100.990172,102.990172,102.990172,0.000000,0.000000
0.85,13,naive_target_aware,3014,1840,0.610484,96.489615,37.584210,39.584210,39.584210,0.000000,0.000000
0.85,13,engagement_g00_d0.0,3014,1840,0.610484,96.489615,37.584210,39.584210,39.584210,0.000000,0.000000
0.85,13,engagement_g00_d0.25,3014,1654,0.548772,95.848871,43.249656,45.249656,45.249656,0.000000,0.000000
0.85,13,engagement_g00_d0.5,3014,1602,0.531520,95.604797,44.788976,46.788976,46.788976,0.000000,0.000000
0.85,13,engagement_g00_d1.0,3014,1474,0.489051,95.522159,48.806942,50.806942,50.806942,0.000000,0.000000
0.85,13,engagement_g00_d2.0,3014,1196,0.396815,95.152002,57.394273,59.394273,59.394273,0.000000,0.000000
0.85,13,engagement_g00_d5.0,3014,446,0.147976,93.198239,79.407126,81.407126,81.407126,0.000000,0.000000
0.85,13,engagement_g00_d10.0,3014,25,0.008295,92.734849,91.965648,93.965648,93.965648,0.000000,0.000000
0.85,13,engagement_g05_d0.0,3014,1805,0.598872,96.401744,38.669446,40.669446,40.669446,0.000000,0.000000
0.85,13,engagement_g05_d0.25,3014,1643,0.545123,95.566003,43.470800,45.470800,45.470800,0.000000,0.000000
0.85,13,engagement_g05_d0.5,3014,1593,0.528534,95.482054,45.016589,47.016589,47.016589,0.000000,0.000000
0.85,13,engagement_g05_d1.0,3014,1467,0.486729,95.447067,48.990250,50.990250,50.990250,0.000000,0.000000
0.85,13,engagement_g05_d2.0,3014,1193,0.395820,95.058616,57.432561,59.432561,59.432561,0.000000,0.000000
0.85,13,engagement_g05_d5.0,3014,446,0.147976,93.198239,79.407126,81.407126,81.407126,0.000000,0.000000
0.85,13,engagement_g05_d10.0,3014,25,0.008295,96.329424,95.530407,97.530407,97.530407,0.000000,0.000000
0.85,13,oracle_a1,3014,2401,0.796616,37.914275,7.711165,9.711165,9.711165,0.000000,0.000000
