dominant_peer_ratio,seed,total_requests,oracle_mean_latency_ms,online_mean_latency_ms,agree_oracle_demand_count,agree_oracle_demand_rate,agree_oracle_median_count,agree_oracle_median_rate,agree_demand_median_count,agree_demand_median_rate,oracle_self_service_count,oracle_self_service_rate,total_latency_advantage_ms,self_service_advantage_ms,remote_advantage_ms,self_service_advantage_fraction
0.4,16,3097,22.886948,75.287606,960,0.309977,1030,0.332580,1168,0.377139,1202,0.388118,162284.837937,53841.897787,108442.940150,0.331774
0.4,17,2945,24.544156,76.424808,855,0.290323,936,0.317827,768,0.260781,1044,0.354499,152788.521595,50823.555968,101964.965627,0.332640
0.4,18,3040,22.310806,77.660948,888,0.292105,940,0.309211,1009,0.331908,1094,0.359868,168264.430648,54836.574166,113427.856482,0.325895
0.4,19,2979,23.067317,81.979781,759,0.254783,932,0.312857,763,0.256126,1003,0.336690,175500.230982,49573.670306,125926.560676,0.282471
0.4,20,3045,26.146362,78.450072,918,0.301478,1059,0.347783,990,0.325123,1189,0.390476,159264.795915,58630.594823,100634.201092,0.368133
0.4,21,3058,24.912147,80.662098,907,0.296599,1030,0.336821,912,0.298234,1172,0.383257,170483.350017,57477.760584,113005.589433,0.337146
0.4,22,3009,23.962918,79.877599,792,0.263210,984,0.327019,875,0.290794,1058,0.351612,168247.274918,56806.938757,111440.336161,0.337640
0.4,23,3060,24.083069,78.903221,942,0.307843,1060,0.346405,861,0.281373,1229,0.401634,167749.663892,63452.330539,104297.333353,0.378256
0.4,24,2894,26.326137,79.481223,889,0.307187,1017,0.351417,985,0.340359,1157,0.399793,153830.816707,56488.811093,97342.005614,0.367214
0.4,25,2903,25.182879,80.126988,810,0.279022,884,0.304513,863,0.297279,1090,0.375474,159502.750081,59284.326168,100218.423913,0.371682
0.4,26,3057,25.362034,83.660116,772,0.252535,1093,0.357540,1001,0.327445,1018,0.333006,178217.237342,51280.623090,126936.614252,0.287742
0.4,27,2968,25.562980,81.746645,829,0.279313,959,0.323113,825,0.277965,1188,0.400270,166753.117959,64589.316636,102163.801323,0.387335
0.4,28,3014,23.206395,81.311056,803,0.266423,1037,0.344061,588,0.195090,1000,0.331785,175127.446883,47843.902424,127283.544459,0.273195
0.4,29,3063,23.047032,75.445150,858,0.280118,1104,0.360431,970,0.316683,1043,0.340516,160495.436885,44935.024983,115560.411902,0.279977
0.4,30,2933,29.382358,85.293294,852,0.290488,1030,0.351176,834,0.284350,1099,0.374702,163986.775038,61755.407817,102231.367221,0.376588
0.3,1,3072,24.653691,81.125394,679,0.221029,812,0.264323,599,0.194987,986,0.320964,173481.069667,54774.659285,118706.410382,0.315739
0.3,2,3076,27.220283,88.712618,633,0.205787,911,0.296164,505,0.164174,924,0.300390,189150.423559,57953.824730,131196.598829,0.306390
0.3,3,2993,26.534681,87.480903,614,0.205145,818,0.273304,560,0.187103,952,0.318076,182412.043195,64432.287650,117979.755545,0.353224
0.3,4,2947,23.543982,86.626035,584,0.198168,713,0.241941,587,0.199186,913,0.309807,185902.807487,57366.566893,128536.240594,0.308584
0.3,5,2961,26.146739,89.835618,596,0.201283,733,0.247552,554,0.187099,943,0.318473,188582.768962,62598.156237,125984.612725,0.331940
0.3,6,2952,25.655339,87.972437,535,0.181233,968,0.327913,505,0.171070,803,0.272019,183960.074375,49982.015135,133978.059240,0.271700
0.3,7,2971,31.687517,94.520856,585,0.196903,834,0.280714,576,0.193874,1002,0.337260,186677.850773,72000.806712,114677.044061,0.385695
0.3,8,2983,26.561582,86.318881,604,0.202481,983,0.329534,417,0.139792,863,0.289306,178256.023097,49776.769852,128479.253245,0.279243
0.3,9,2932,25.612096,85.847425,625,0.213165,743,0.253411,739,0.252046,946,0.322647,176609.983438,57481.981506,119128.001932,0.325474
0.3,10,3006,28.685534,88.392284,615,0.204591,916,0.304724,495,0.164671,974,0.324019,179478.490273,60252.015969,119226.474304,0.335706
0.3,11,3002,25.282287,88.039095,574,0.191206,746,0.248501,550,0.183211,913,0.304131,188395.937130,55874.610365,132521.326765,0.296581
0.3,12,3026,24.710851,87.483706,535,0.176801,815,0.269332,577,0.190681,799,0.264045,189950.657878,49465.739080,140484.918798,0.260414
0.3,13,3014,25.869016,84.520870,593,0.196749,734,0.243530,617,0.204711,917,0.304247,176776.688730,55797.012722,120979.676008,0.315636
0.3,14,3050,30.201493,91.656568,662,0.217049,751,0.246230,770,0.252459,937,0.307213,187437.977933,62461.086629,124976.891304,0.333236
0.3,15,3022,27.261295,88.207518,658,0.217737,809,0.267704,483,0.159828,1006,0.332892,184179.486619,66150.901016,118028.585603,0.359165
0.3,16,3097,24.073399,84.916486,661,0.213432,743,0.239910,665,0.214724,1032,0.333226,188431.041860,62307.944202,126123.097658,0.330667
0.3,17,2945,26.000866,84.488117,640,0.217317,888,0.301528,581,0.197284,947,0.321562,172244.953838,58953.460562,113291.493276,0.342265
0.3,18,3040,23.604530,87.458806,625,0.205592,783,0.257566,580,0.190789,970,0.319079,194116.999371,60555.842376,133561.156995,0.311955
0.3,19,2979,25.051547,92.019192,501,0.168177,901,0.302450,526,0.176569,792,0.265861,199496.614248,50169.085547,149327.528701,0.251478
0.3,20,3045,27.968991,89.140680,668,0.219376,867,0.284729,559,0.183580,1046,0.343514,186267.793045,74055.763567,112212.029478,0.397577
0.3,21,3058,27.047569,88.216463,661,0.216154,854,0.279267,673,0.220078,967,0.316220,187054.475824,56504.726626,130549.749198,0.302076
0.3,22,3009,25.040402,90.321014,554,0.184114,834,0.277168,547,0.181788,871,0.289465,196429.362739,61024.873410,135404.489329,0.310671
0.3,23,3060,25.296485,86.103293,664,0.216993,778,0.254248,522,0.170588,1030,0.336601,186068.830539,64431.723244,121637.107295,0.346279
0.3,24,2894,27.627509,89.778809,587,0.202833,708,0.244644,578,0.199724,985,0.340359,179865.861566,64816.966759,115048.894807,0.360363
0.3,25,2903,25.921796,86.135634,598,0.205994,699,0.240785,526,0.181192,981,0.337926,174800.772091,63056.329311,111744.442780,0.360733
0.3,26,3057,26.790419,94.604127,547,0.178934,845,0.276415,536,0.175335,884,0.289172,207306.506945,60847.715625,146458.791320,0.293516
0.3,27,2968,27.029671,89.922194,634,0.213612,746,0.251348,508,0.171159,1033,0.348046,186665.008284,72226.553772,114438.454512,0.386931
