phase_duration,seed,policy_id,total_requests,self_service_count,self_service_rate,mean_rtt_remote_ms,mean_rtt_all_ms,measured_mean_latency_ms,predicted_mean_latency_ms,abs_error_ms,rel_error
10.0,2,engagement_g00_d0.0,3076,1915,0.622562,112.395879,42.422502,44.422502,44.422502,0.000000,0.000000
10.0,2,engagement_g00_d0.25,3076,1692,0.550065,111.465399,50.152182,52.152182,52.152182,0.000000,0.000000
10.0,2,engagement_g00_d0.5,3076,1635,0.531534,111.091606,52.042589,54.042589,54.042589,0.000000,0.000000
10.0,2,engagement_g00_d1.0,3076,1506,0.489597,110.965465,56.637119,58.637119,58.637119,0.000000,0.000000
10.0,2,engagement_g00_d2.0,3076,1243,0.404096,111.410217,66.389769,68.389769,68.389769,0.000000,0.000000
10.0,2,engagement_g00_d5.0,3076,523,0.170026,112.423858,93.308878,95.308878,95.308878,0.000000,0.000000
10.0,2,engagement_g00_d10.0,3076,27,0.008778,110.099245,109.132834,111.132834,111.132834,0.000000,0.000000
10.0,2,engagement_g05_d0.0,3076,1898,0.617035,112.296685,43.005687,45.005687,45.005687,0.000000,0.000000
10.0,2,engagement_g05_d0.25,3076,1691,0.549740,111.474147,50.192358,52.192358,52.192358,0.000000,0.000000
10.0,2,engagement_g05_d0.5,3076,1634,0.531209,111.100268,52.082765,54.082765,54.082765,0.000000,0.000000
10.0,2,engagement_g05_d1.0,3076,1505,0.489272,110.973496,56.677296,58.677296,58.677296,0.000000,0.000000
10.0,2,engagement_g05_d2.0,3076,1243,0.404096,111.410217,66.389769,68.389769,68.389769,0.000000,0.000000
10.0,2,engagement_g05_d5.0,3076,523,0.170026,111.657807,92.673076,94.673076,94.673076,0.000000,0.000000
10.0,2,engagement_g05_d10.0,3076,26,0.008453,107.210936,106.304731,108.304731,108.304731,0.000000,0.000000
10.0,2,oracle_a1,3076,2469,0.802666,38.217524,7.541625,9.541625,9.541625,0.000000,0.000000
10.0,3,static,2993,146,0.048780,97.544912,92.786623,94.786623,94.786623,0.000000,0.000000
10.0,3,nearest,2993,165,0.055129,94.202053,89.008822,91.008822,91.008822,0.000000,0.000000
10.0,3,naive_target_aware,2993,1837,0.613765,103.504273,39.976926,41.976926,41.976926,0.000000,0.000000
10.0,3,engagement_g00_d0.0,2993,1837,0.613765,103.504273,39.976926,41.976926,41.976926,0.000000,0.000000
